input_type,underlying_nid,nid,underlying_field_citation_value,field_citation_value,author,pub year,file_path,page_num,table_num,source_type,location_name,location_id,ihme_loc_id,smaller_site_unit,site_memo,sex,sex_issue,year_start,year_end,year_issue,age_start,age_end,age_issue,age_demographer,measure,mean,lower,upper,standard_error,effective_sample_size,cases,sample_size,cases_ref,sample_size_ref,Ref,note_sr,extractor,is_outlier,data_sheet_filepath,cv_subnational,cv_diag_smear,cv_diag_culture,cv_screening,bundle_id_,bundle_name,RR_mean,RR_se,rr,rr_se,intercept,obs_id,w
extracted,,,,,"Warria K,2020",,,,,,Kenya,180,KEN,1,Western Kenya,Both,0,,,,15,99,0,,,,,,,,118,358,141,2870,PHIA-2018,,,,,,,,,,,6.709061373271519,0.11146769356011699,1.90345905644046,0.0605209900168012,1,2,1
extracted,,,,,"ï»¿Odera S, 2020",,,,,,Kenya,180,KEN,1,"Nairobi, Kenya",Both,0,,,,18,99,0,,,,,,,,16,175,109,2870,PHIA-2018,,,,,,,,,,,2.4073394495412797,0.256147602285422,0.87852217484079,0.0910694226052322,1,1,1
